,Country,Year,Sex,Age,Cases
14687,ML,2007,Male,25-34,696.0
14702,MM,1996,Male,25-34,1511.0
14703,MM,1998,Male,25-34,1491.0
14704,MM,1999,Male,25-34,1800.0
14705,MM,2000,Male,25-34,2636.0
14706,MM,2002,Male,25-34,3986.0
14707,MM,2003,Male,25-34,4408.0
14708,MM,2004,Male,25-34,5025.0
14709,MM,2005,Male,25-34,5877.0
14710,MM,2006,Male,25-34,6328.0
14711,MM,2007,Male,25-34,6569.0
14712,MM,2008,Male,25-34,6311.0
14727,MN,1996,Male,25-34,150.0
14728,MN,1997,Male,25-34,298.0
14729,MN,1998,Male,25-34,251.0
14730,MN,1999,Male,25-34,314.0
14731,MN,2000,Male,25-34,260.0
14732,MN,2002,Male,25-34,272.0
14733,MN,2003,Male,25-34,217.0
14734,MN,2004,Male,25-34,256.0
14735,MN,2005,Male,25-34,253.0
14736,MN,2006,Male,25-34,335.0
14737,MN,2007,Male,25-34,270.0
14738,MN,2008,Male,25-34,260.0
14753,MO,1995,Male,25-34,19.0
14755,MO,2001,Male,25-34,17.0
14756,MO,2002,Male,25-34,8.0
14757,MO,2003,Male,25-34,9.0
14758,MO,2004,Male,25-34,7.0
14759,MO,2005,Male,25-34,9.0
14760,MO,2006,Male,25-34,6.0
14761,MO,2007,Male,25-34,12.0
14774,MP,1996,Male,25-34,8.0
14775,MP,1998,Male,25-34,6.0
14776,MP,2001,Male,25-34,3.0
14777,MP,2003,Male,25-34,2.0
14778,MP,2004,Male,25-34,2.0
14779,MP,2005,Male,25-34,1.0
14780,MP,2006,Male,25-34,2.0
14798,MR,2004,Male,25-34,343.0
14799,MR,2006,Male,25-34,294.0
14800,MR,2007,Male,25-34,355.0
14801,MR,2008,Male,25-34,292.0
14841,MT,1999,Male,25-34,1.0
14844,MT,2003,Male,25-34,1.0
14846,MT,2005,Male,25-34,1.0
14848,MT,2007,Male,25-34,2.0
14849,MT,2008,Male,25-34,6.0
14865,MU,2000,Male,25-34,9.0
14866,MU,2002,Male,25-34,6.0
14867,MU,2003,Male,25-34,12.0
14868,MU,2004,Male,25-34,13.0
14869,MU,2005,Male,25-34,15.0
14870,MU,2006,Male,25-34,9.0
14871,MU,2007,Male,25-34,9.0
14872,MU,2008,Male,25-34,15.0
14886,MV,1995,Male,25-34,11.0
14887,MV,1996,Male,25-34,9.0
14888,MV,1998,Male,25-34,18.0
14889,MV,1999,Male,25-34,8.0
14890,MV,2000,Male,25-34,10.0
14891,MV,2001,Male,25-34,5.0
14892,MV,2002,Male,25-34,9.0
14893,MV,2003,Male,25-34,7.0
14894,MV,2004,Male,25-34,11.0
14895,MV,2005,Male,25-34,8.0
14896,MV,2006,Male,25-34,9.0
14897,MV,2008,Male,25-34,11.0
14903,MW,1997,Male,25-34,1418.0
14904,MW,2001,Male,25-34,1486.0
14905,MW,2003,Male,25-34,1374.0
14906,MW,2004,Male,25-34,1505.0
14907,MW,2005,Male,25-34,1653.0
14908,MW,2006,Male,25-34,1647.0
14922,MX,1996,Male,25-34,1021.0
14923,MX,1998,Male,25-34,1330.0
14924,MX,2000,Male,25-34,1387.0
14925,MX,2001,Male,25-34,1639.0
14926,MX,2002,Male,25-34,1292.0
14927,MX,2003,Male,25-34,1461.0
14928,MX,2004,Male,25-34,1276.0
14929,MX,2005,Male,25-34,1376.0
14943,MY,1995,Male,25-34,879.0
14944,MY,1998,Male,25-34,1090.0
14945,MY,1999,Male,25-34,1147.0
14946,MY,2000,Male,25-34,1138.0
14947,MY,2001,Male,25-34,1198.0
14948,MY,2002,Male,25-34,1106.0
14962,MZ,1995,Male,25-34,1475.0
14963,MZ,1996,Male,25-34,1507.0
14973,0.0,1995,Male,25-34,235.0
14974,0.0,1998,Male,25-34,816.0
14975,0.0,1999,Male,25-34,908.0
14976,0.0,2001,Male,25-34,993.0
14977,0.0,2002,Male,25-34,1033.0
14978,0.0,2003,Male,25-34,1109.0
14979,0.0,2004,Male,25-34,1092.0
14980,0.0,2005,Male,25-34,1027.0
14981,0.0,2006,Male,25-34,1052.0
14982,0.0,2007,Male,25-34,1018.0
14996,NC,2002,Male,25-34,2.0
14997,NC,2004,Male,25-34,1.0
14998,NC,2005,Male,25-34,1.0
14999,NC,2006,Male,25-34,3.0
15000,NC,2007,Male,25-34,1.0
15001,NC,2008,Male,25-34,1.0
15014,NE,2005,Male,25-34,1204.0
15015,NE,2006,Male,25-34,1265.0
15016,NE,2007,Male,25-34,1380.0
15031,NG,1995,Male,25-34,921.0
15032,NG,1997,Male,25-34,2095.0
15033,NG,1998,Male,25-34,2543.0
15034,NG,2003,Male,25-34,5388.0
15035,NG,2004,Male,25-34,6252.0
15036,NG,2005,Male,25-34,6758.0
15037,NG,2006,Male,25-34,8145.0
15038,NG,2007,Male,25-34,8541.0
15039,NG,2008,Male,25-34,8910.0
15053,NI,1995,Male,25-34,172.0
15054,NI,1996,Male,25-34,200.0
15055,NI,1997,Male,25-34,210.0
15056,NI,1998,Male,25-34,193.0
15057,NI,1999,Male,25-34,212.0
15058,NI,2000,Male,25-34,174.0
15059,NI,2001,Male,25-34,203.0
15060,NI,2002,Male,25-34,180.0
15061,NI,2003,Male,25-34,210.0
15062,NI,2004,Male,25-34,179.0
15063,NI,2006,Male,25-34,151.0
15064,NI,2007,Male,25-34,194.0
15079,NL,1996,Male,25-34,65.0
15080,NL,1997,Male,25-34,65.0
15081,NL,1998,Male,25-34,40.0
15082,NL,1999,Male,25-34,67.0
15083,NL,2000,Male,25-34,63.0
15098,NO,1995,Male,25-34,8.0
15099,NO,1996,Male,25-34,7.0
15100,NO,1997,Male,25-34,10.0
15101,NO,1998,Male,25-34,4.0
15102,NO,1999,Male,25-34,5.0
15103,NO,2000,Male,25-34,9.0
15104,NO,2001,Male,25-34,8.0
15105,NO,2002,Male,25-34,4.0
15118,NP,1999,Male,25-34,1800.0
15119,NP,2000,Male,25-34,1763.0
15120,NP,2002,Male,25-34,1707.0
15121,NP,2003,Male,25-34,1658.0
15122,NP,2004,Male,25-34,1749.0
15123,NP,2005,Male,25-34,1685.0
15124,NP,2006,Male,25-34,1651.0
15125,NP,2007,Male,25-34,1591.0
15139,NR,2002,Male,25-34,1.0
15185,NZ,2000,Male,25-34,5.0
15186,NZ,2002,Male,25-34,14.0
15187,NZ,2003,Male,25-34,10.0
15188,NZ,2005,Male,25-34,10.0
15202,OM,1999,Male,25-34,11.0
15203,OM,2005,Male,25-34,11.0
15204,OM,2007,Male,25-34,25.0
15218,PA,2004,Male,25-34,123.0
15219,PA,2005,Male,25-34,129.0
15220,PA,2006,Male,25-34,134.0
15221,PA,2007,Male,25-34,139.0
15235,PE,1997,Male,25-34,3853.0
15236,PE,1998,Male,25-34,3987.0
15237,PE,1999,Male,25-34,3007.0
15238,PE,2000,Male,25-34,2875.0
15239,PE,2001,Male,25-34,2887.0
15240,PE,2004,Male,25-34,2085.0
15241,PE,2005,Male,25-34,2670.0
15257,PF,1996,Male,25-34,7.0
15258,PF,1997,Male,25-34,2.0
15259,PF,1998,Male,25-34,4.0
15260,PF,1999,Male,25-34,2.0
15261,PF,2000,Male,25-34,3.0
15262,PF,2003,Male,25-34,2.0
15263,PF,2004,Male,25-34,2.0
15264,PF,2006,Male,25-34,1.0
15293,PH,2005,Male,25-34,11275.0
15294,PH,2006,Male,25-34,11697.0
15295,PH,2007,Male,25-34,11781.0
15296,PH,2008,Male,25-34,11741.0
15310,PK,1995,Male,25-34,230.0
15312,PK,2007,Male,25-34,8790.0
15326,PL,1996,Male,25-34,545.0
15327,PL,1998,Male,25-34,266.0
15328,PL,1999,Male,25-34,219.0
15329,PL,2001,Male,25-34,242.0
15330,PL,2002,Male,25-34,206.0
15343,PR,1998,Male,25-34,11.0
15344,PR,1999,Male,25-34,9.0
15345,PR,2000,Male,25-34,4.0
15346,PR,2001,Male,25-34,4.0
15347,PR,2002,Male,25-34,7.0
15348,PR,2003,Male,25-34,5.0
15349,PR,2004,Male,25-34,7.0
15350,PR,2005,Male,25-34,4.0
15351,PR,2006,Male,25-34,7.0
15352,PR,2007,Male,25-34,2.0
15353,PR,2008,Male,25-34,4.0
15368,PS,1996,Male,25-34,2.0
15369,PS,1998,Male,25-34,1.0
15371,PS,2003,Male,25-34,1.0
15372,PS,2004,Male,25-34,1.0
15374,PS,2006,Male,25-34,3.0
15375,PS,2008,Male,25-34,1.0
15390,PT,1995,Male,25-34,363.0
15391,PT,1996,Male,25-34,359.0
15392,PT,1997,Male,25-34,313.0
15393,PT,1998,Male,25-34,367.0
15394,PT,1999,Male,25-34,288.0
15407,PW,1995,Male,25-34,3.0
15409,PW,1997,Male,25-34,1.0
15411,PW,1999,Male,25-34,2.0
15414,PW,2005,Male,25-34,2.0
15415,PW,2007,Male,25-34,1.0
15427,PY,2003,Male,25-34,174.0
15442,QA,1995,Male,25-34,12.0
15443,QA,1997,Male,25-34,11.0
15444,QA,1999,Male,25-34,15.0
15445,QA,2000,Male,25-34,19.0
15446,QA,2002,Male,25-34,12.0
15447,QA,2003,Male,25-34,27.0
15448,QA,2004,Male,25-34,13.0
15449,QA,2005,Male,25-34,15.0
15450,QA,2006,Male,25-34,21.0
15451,QA,2007,Male,25-34,38.0
15479,RU,1999,Male,25-34,4138.0
15480,RU,2004,Male,25-34,5079.0
15481,RU,2006,Male,25-34,5774.0
15493,RW,2006,Male,25-34,769.0
15509,SA,2000,Male,25-34,268.0
15510,SA,2002,Male,25-34,309.0
15511,SA,2003,Male,25-34,285.0
15512,SA,2005,Male,25-34,276.0
15513,SA,2006,Male,25-34,323.0
15514,SA,2007,Male,25-34,312.0
15528,SB,1995,Male,25-34,6.0
15529,SB,1996,Male,25-34,9.0
15530,SB,1997,Male,25-34,8.0
15531,SB,1998,Male,25-34,9.0
15532,SB,2000,Male,25-34,4.0
15533,SB,2002,Male,25-34,12.0
15534,SB,2003,Male,25-34,9.0
15535,SB,2004,Male,25-34,12.0
15536,SB,2005,Male,25-34,18.0
15537,SB,2006,Male,25-34,11.0
15550,SC,2000,Male,25-34,2.0
15551,SC,2002,Male,25-34,3.0
15552,SC,2004,Male,25-34,2.0
15553,SC,2005,Male,25-34,1.0
15556,SC,2008,Male,25-34,1.0
15568,SD,2000,Male,25-34,1511.0
15569,SD,2002,Male,25-34,1494.0
15570,SD,2004,Male,25-34,1791.0
15571,SD,2005,Male,25-34,1990.0
15572,SD,2006,Male,25-34,1890.0
15573,SD,2007,Male,25-34,1903.0
15587,SE,1996,Male,25-34,8.0
15588,SE,1997,Male,25-34,9.0
15589,SE,1998,Male,25-34,9.0
15590,SE,2000,Male,25-34,10.0
15591,SE,2001,Male,25-34,15.0
15592,SE,2002,Male,25-34,15.0
15593,SE,2003,Male,25-34,14.0
15594,SE,2004,Male,25-34,19.0
15595,SE,2008,Male,25-34,15.0
15609,SG,1995,Male,25-34,40.0
15610,SG,2000,Male,25-34,9.0
15611,SG,2001,Male,25-34,19.0
15612,SG,2002,Male,25-34,28.0
15613,SG,2003,Male,25-34,28.0
15614,SG,2004,Male,25-34,32.0
15615,SG,2005,Male,25-34,25.0
15616,SG,2008,Male,25-34,21.0
15630,SI,1995,Male,25-34,39.0
15631,SI,1996,Male,25-34,27.0
15632,SI,1997,Male,25-34,16.0
15633,SI,1998,Male,25-34,22.0
15634,SI,2000,Male,25-34,11.0
15635,SI,2001,Male,25-34,11.0
15636,SI,2002,Male,25-34,11.0
15637,SI,2003,Male,25-34,9.0
15638,SI,2004,Male,25-34,7.0
15639,SI,2005,Male,25-34,10.0
15640,SI,2006,Male,25-34,5.0
15641,SI,2007,Male,25-34,7.0
15642,SI,2008,Male,25-34,12.0
15656,SK,1995,Male,25-34,44.0
15657,SK,1997,Male,25-34,24.0
15658,SK,1998,Male,25-34,30.0
15659,SK,1999,Male,25-34,19.0
15660,SK,2000,Male,25-34,15.0
15661,SK,2001,Male,25-34,13.0
15675,SL,1995,Male,25-34,305.0
15676,SL,1996,Male,25-34,450.0
15677,SL,1997,Male,25-34,470.0
15678,SL,1998,Male,25-34,445.0
15680,SL,2000,Male,25-34,486.0
15681,SL,2001,Male,25-34,546.0
15682,SL,2002,Male,25-34,561.0
15683,SL,2003,Male,25-34,564.0
15684,SL,2004,Male,25-34,659.0
15685,SL,2005,Male,25-34,792.0
15686,SL,2006,Male,25-34,851.0
15687,SL,2008,Male,25-34,1062.0
15718,SN,1995,Male,25-34,1219.0
15719,SN,1996,Male,25-34,1281.0
15720,SN,1997,Male,25-34,1151.0
15721,SN,1998,Male,25-34,1208.0
15722,SN,1999,Male,25-34,1070.0
15723,SN,2000,Male,25-34,1297.0
15724,SN,2001,Male,25-34,1331.0
15725,SN,2002,Male,25-34,1271.0
15726,SN,2003,Male,25-34,1438.0
15727,SN,2004,Male,25-34,1464.0
15728,SN,2005,Male,25-34,1561.0
15729,SN,2006,Male,25-34,1606.0
15730,SN,2007,Male,25-34,1722.0
15738,SO,1998,Male,25-34,599.0
15739,SO,2000,Male,25-34,724.0
15740,SO,2001,Male,25-34,880.0
15741,SO,2003,Male,25-34,850.0
15742,SO,2004,Male,25-34,1059.0
15743,SO,2005,Male,25-34,1114.0
15744,SO,2006,Male,25-34,1121.0
15745,SO,2007,Male,25-34,1008.0
15746,SO,2008,Male,25-34,1067.0
15778,ST,2002,Male,25-34,6.0
15779,ST,2004,Male,25-34,7.0
15780,ST,2005,Male,25-34,7.0
15781,ST,2006,Male,25-34,8.0
15782,ST,2007,Male,25-34,12.0
15783,ST,2008,Male,25-34,13.0
15798,SV,1996,Male,25-34,76.0
15799,SV,1999,Male,25-34,128.0
15800,SV,2000,Male,25-34,124.0
15801,SV,2001,Male,25-34,144.0
15802,SV,2002,Male,25-34,127.0
15803,SV,2003,Male,25-34,105.0
15804,SV,2004,Male,25-34,121.0
15805,SV,2005,Male,25-34,140.0
15806,SV,2006,Male,25-34,124.0
15821,SY,1996,Male,25-34,290.0
15822,SY,2002,Male,25-34,278.0
15823,SY,2003,Male,25-34,279.0
15824,SY,2004,Male,25-34,308.0
15825,SY,2005,Male,25-34,237.0
15834,SZ,1995,Male,25-34,117.0
15837,SZ,2007,Male,25-34,479.0
15853,TC,2003,Male,25-34,2.0
15855,TC,2006,Male,25-34,1.0
15875,TD,1999,Male,25-34,414.0
15876,TD,2003,Male,25-34,428.0
15877,TD,2004,Male,25-34,466.0
15878,TD,2005,Male,25-34,535.0
15895,TG,1999,Male,25-34,169.0
15897,TG,2002,Male,25-34,239.0
15898,TG,2006,Male,25-34,358.0
15899,TG,2007,Male,25-34,309.0
15900,TG,2008,Male,25-34,379.0
15915,TH,1995,Male,25-34,2936.0
15916,TH,1996,Male,25-34,2857.0
15917,TH,1998,Male,25-34,1153.0
15918,TH,2002,Male,25-34,3805.0
15919,TH,2003,Male,25-34,4615.0
15920,TH,2004,Male,25-34,4211.0
15921,TH,2006,Male,25-34,3732.0
15922,TH,2008,Male,25-34,3374.0
15938,TJ,1996,Male,25-34,25.0
15939,TJ,1998,Male,25-34,90.0
15941,TJ,2002,Male,25-34,133.0
15943,TJ,2007,Male,25-34,361.0
15969,TL,2002,Male,25-34,145.0
15970,TL,2005,Male,25-34,149.0
15971,TL,2006,Male,25-34,115.0
15972,TL,2007,Male,25-34,129.0
15973,TL,2008,Male,25-34,88.0
15987,TM,1995,Male,25-34,188.0
15988,TM,1996,Male,25-34,114.0
15989,TM,1997,Male,25-34,208.0
15990,TM,1998,Male,25-34,210.0
15991,TM,1999,Male,25-34,225.0
15992,TM,2000,Male,25-34,185.0
15993,TM,2001,Male,25-34,295.0
15994,TM,2002,Male,25-34,249.0
15995,TM,2003,Male,25-34,265.0
15996,TM,2004,Male,25-34,250.0
15997,TM,2006,Male,25-34,273.0
15998,TM,2008,Male,25-34,235.0
16013,TN,2001,Male,25-34,185.0
16014,TN,2002,Male,25-34,184.0
16015,TN,2003,Male,25-34,164.0
16016,TN,2004,Male,25-34,181.0
16017,TN,2005,Male,25-34,172.0
16018,TN,2006,Male,25-34,174.0
16019,TN,2007,Male,25-34,171.0
16034,TO,1998,Male,25-34,3.0
16036,TO,2000,Male,25-34,1.0
16037,TO,2001,Male,25-34,1.0
16039,TO,2003,Male,25-34,1.0
16040,TO,2005,Male,25-34,1.0
16042,TO,2007,Male,25-34,1.0
16072,TT,2000,Male,25-34,18.0
16073,TT,2003,Male,25-34,13.0
16087,TV,1995,Male,25-34,1.0
16096,TZ,1996,Male,25-34,4275.0
16097,TZ,2001,Male,25-34,4912.0
16098,TZ,2002,Male,25-34,4814.0
16099,TZ,2003,Male,25-34,4964.0
16100,TZ,2004,Male,25-34,5203.0
16101,TZ,2005,Male,25-34,4939.0
16102,TZ,2006,Male,25-34,4926.0
16103,TZ,2007,Male,25-34,4665.0
16104,TZ,2008,Male,25-34,4595.0
16118,UA,1995,Male,25-34,1076.0
16119,UA,1998,Male,25-34,1500.0
16120,UA,1999,Male,25-34,1463.0
16121,UA,2000,Male,25-34,1552.0
16123,UA,2003,Male,25-34,2033.0
16126,UA,2006,Male,25-34,2522.0
16138,UG,1998,Male,25-34,3672.0
16139,UG,2007,Male,25-34,4406.0
16166,UY,1995,Male,25-34,40.0
16167,UY,1996,Male,25-34,43.0
16168,UY,1997,Male,25-34,44.0
16169,UY,1998,Male,25-34,47.0
16170,UY,1999,Male,25-34,48.0
16171,UY,2000,Male,25-34,48.0
16172,UY,2001,Male,25-34,38.0
16173,UY,2002,Male,25-34,33.0
16174,UY,2004,Male,25-34,59.0
16175,UY,2005,Male,25-34,48.0
16176,UY,2006,Male,25-34,53.0
16177,UY,2007,Male,25-34,69.0
16191,UZ,1996,Male,25-34,1042.0
16192,UZ,2000,Male,25-34,749.0
16193,UZ,2003,Male,25-34,828.0
16194,UZ,2004,Male,25-34,835.0
16209,VC,1998,Male,25-34,2.0
16227,VE,1999,Male,25-34,452.0
16228,VE,2002,Male,25-34,429.0
16229,VE,2003,Male,25-34,459.0
16230,VE,2004,Male,25-34,454.0
16231,VE,2005,Male,25-34,395.0
16256,VI,1996,Male,25-34,1.0
16275,VN,1996,Male,25-34,5716.0
16276,VN,1999,Male,25-34,6355.0
16277,VN,2000,Male,25-34,6147.0
16278,VN,2003,Male,25-34,7036.0
16279,VN,2006,Male,25-34,7549.0
16280,VN,2008,Male,25-34,7148.0
16295,VU,1995,Male,25-34,2.0
16296,VU,1996,Male,25-34,2.0
16297,VU,1998,Male,25-34,5.0
16298,VU,2001,Male,25-34,5.0
16299,VU,2002,Male,25-34,2.0
16300,VU,2003,Male,25-34,4.0
16301,VU,2004,Male,25-34,11.0
16302,VU,2005,Male,25-34,5.0
16303,VU,2006,Male,25-34,3.0
16304,VU,2007,Male,25-34,2.0
16305,VU,2008,Male,25-34,4.0
16320,WF,2003,Male,25-34,2.0
16338,WS,1995,Male,25-34,1.0
16339,WS,1997,Male,25-34,4.0
16340,WS,1998,Male,25-34,1.0
16341,WS,1999,Male,25-34,2.0
16342,WS,2000,Male,25-34,1.0
16354,YE,1995,Male,25-34,605.0
16355,YE,1998,Male,25-34,698.0
16356,YE,2000,Male,25-34,689.0
16357,YE,2001,Male,25-34,631.0
16358,YE,2002,Male,25-34,559.0
16359,YE,2003,Male,25-34,587.0
16360,YE,2004,Male,25-34,559.0
16361,YE,2005,Male,25-34,553.0
16362,YE,2006,Male,25-34,555.0
16363,YE,2007,Male,25-34,626.0
16364,YE,2008,Male,25-34,541.0
16381,YU,2002,Male,25-34,53.0
16397,ZA,2004,Male,25-34,22120.0
16398,ZA,2005,Male,25-34,20576.0
16413,ZM,2000,Male,25-34,2610.0
16414,ZM,2002,Male,25-34,3051.0
16415,ZM,2003,Male,25-34,4182.0
16416,ZM,2004,Male,25-34,3963.0
16417,ZM,2005,Male,25-34,3166.0
16418,ZM,2006,Male,25-34,3496.0
16419,ZM,2007,Male,25-34,2971.0
16420,ZM,2008,Male,25-34,3244.0
16435,ZW,2003,Male,25-34,3048.0
16436,ZW,2004,Male,25-34,2908.0
16437,ZW,2005,Male,25-34,2264.0
16438,ZW,2006,Male,25-34,2391.0
16444,AD,1996,Male,35-44,4.0
16445,AD,1998,Male,35-44,1.0
16447,AD,2001,Male,35-44,2.0
16448,AD,2002,Male,35-44,1.0
16449,AD,2004,Male,35-44,1.0
16450,AD,2005,Male,35-44,1.0
16451,AD,2006,Male,35-44,2.0
16470,AE,2002,Male,35-44,6.0
16471,AE,2003,Male,35-44,12.0
16472,AE,2004,Male,35-44,7.0
16473,AE,2007,Male,35-44,3.0
16474,AE,2008,Male,35-44,7.0
16487,AF,2001,Male,35-44,274.0
16488,AF,2002,Male,35-44,368.0
16489,AF,2005,Male,35-44,472.0
16490,AF,2007,Male,35-44,597.0
16491,AF,2008,Male,35-44,545.0
16512,AG,2005,Male,35-44,1.0
16549,AL,1997,Male,35-44,33.0
16550,AL,1998,Male,35-44,24.0
16551,AL,1999,Male,35-44,25.0
16552,AL,2000,Male,35-44,14.0
16553,AL,2001,Male,35-44,17.0
16554,AL,2002,Male,35-44,29.0
16555,AL,2003,Male,35-44,32.0
16556,AL,2004,Male,35-44,21.0
16557,AL,2005,Male,35-44,16.0
16572,AM,1996,Male,35-44,51.0
16573,AM,1997,Male,35-44,77.0
16574,AM,1998,Male,35-44,79.0
16575,AM,1999,Male,35-44,115.0
16576,AM,2000,Male,35-44,131.0
16577,AM,2001,Male,35-44,93.0
16578,AM,2002,Male,35-44,109.0
16579,AM,2003,Male,35-44,75.0
16596,AO,1996,Male,35-44,1027.0
16597,AO,2003,Male,35-44,1908.0
16598,AO,2005,Male,35-44,1918.0
16599,AO,2006,Male,35-44,2182.0
16600,AO,2007,Male,35-44,2255.0
16601,AO,2008,Male,35-44,2418.0
16615,AR,1996,Male,35-44,338.0
16631,AS,1997,Male,35-44,1.0
16654,AT,1999,Male,35-44,54.0
16672,AU,2000,Male,35-44,25.0
16673,AU,2001,Male,35-44,18.0
16674,AU,2003,Male,35-44,2.0
16688,AZ,1999,Male,35-44,217.0
16689,AZ,2002,Male,35-44,359.0
16690,AZ,2003,Male,35-44,215.0
16691,AZ,2004,Male,35-44,222.0
16707,BA,1995,Male,35-44,90.0
16708,BA,1998,Male,35-44,85.0
16709,BA,2002,Male,35-44,70.0
16710,BA,2003,Male,35-44,49.0
16711,BA,2006,Male,35-44,47.0
16726,BB,2000,Male,35-44,2.0
16727,BB,2001,Male,35-44,1.0
16747,BD,2003,Male,35-44,8058.0
16748,BD,2005,Male,35-44,11423.0
16749,BD,2006,Male,35-44,12889.0
16750,BD,2007,Male,35-44,13003.0
16751,BD,2008,Male,35-44,12761.0
16765,BE,1996,Male,35-44,49.0
16766,BE,1997,Male,35-44,56.0
16767,BE,1998,Male,35-44,58.0
16768,BE,1999,Male,35-44,49.0
16782,BF,1998,Male,35-44,236.0
16783,BF,2003,Male,35-44,321.0
16784,BF,2004,Male,35-44,308.0
16785,BF,2005,Male,35-44,370.0
16786,BF,2006,Male,35-44,433.0
16787,BF,2008,Male,35-44,448.0
16802,BG,2003,Male,35-44,178.0
16803,BG,2004,Male,35-44,166.0
16817,BH,2000,Male,35-44,2.0
16818,BH,2001,Male,35-44,2.0
16819,BH,2002,Male,35-44,2.0
16820,BH,2003,Male,35-44,1.0
16821,BH,2006,Male,35-44,11.0
16835,BI,1999,Male,35-44,492.0
16837,BI,2001,Male,35-44,469.0
16838,BI,2002,Male,35-44,520.0
16839,BI,2005,Male,35-44,525.0
16840,BI,2006,Male,35-44,488.0
16841,BI,2007,Male,35-44,542.0
16842,BI,2008,Male,35-44,526.0
16856,BJ,1995,Male,35-44,306.0
16857,BJ,1996,Male,35-44,277.0
16858,BJ,1998,Male,35-44,251.0
16859,BJ,2000,Male,35-44,327.0
16861,BJ,2004,Male,35-44,344.0
16862,BJ,2005,Male,35-44,396.0
16863,BJ,2006,Male,35-44,465.0
16865,BJ,2008,Male,35-44,439.0
16889,BM,2006,Male,35-44,1.0
16906,BN,2000,Male,35-44,15.0
16907,BN,2002,Male,35-44,7.0
16908,BN,2003,Male,35-44,17.0
16909,BN,2004,Male,35-44,12.0
16910,BN,2005,Male,35-44,19.0
16924,BO,1996,Male,35-44,636.0
16925,BO,1997,Male,35-44,579.0
16926,BO,1999,Male,35-44,527.0
16927,BO,2000,Male,35-44,518.0
16928,BO,2001,Male,35-44,483.0
16929,BO,2002,Male,35-44,492.0
16930,BO,2003,Male,35-44,501.0
16931,BO,2004,Male,35-44,505.0
16932,BO,2005,Male,35-44,439.0
16933,BO,2006,Male,35-44,471.0
16934,BO,2008,Male,35-44,412.0
16948,BR,2004,Male,35-44,6481.0
16949,BR,2005,Male,35-44,6128.0
16963,BS,1997,Male,35-44,11.0
16964,BS,2000,Male,35-44,9.0
16967,BS,2007,Male,35-44,9.0
16968,BS,2008,Male,35-44,5.0
16983,BT,1999,Male,35-44,31.0
16984,BT,2001,Male,35-44,37.0
16985,BT,2002,Male,35-44,32.0
16986,BT,2003,Male,35-44,20.0
16987,BT,2004,Male,35-44,28.0
16988,BT,2005,Male,35-44,26.0
16989,BT,2006,Male,35-44,22.0
16990,BT,2007,Male,35-44,29.0
17004,BW,2003,Male,35-44,446.0
17005,BW,2005,Male,35-44,506.0
17006,BW,2006,Male,35-44,490.0
17007,BW,2007,Male,35-44,442.0
17021,BY,2003,Male,35-44,243.0
17022,BY,2004,Male,35-44,260.0
17023,BY,2005,Male,35-44,273.0
17024,BY,2007,Male,35-44,205.0
17025,BY,2008,Male,35-44,207.0
17039,BZ,2000,Male,35-44,2.0
17040,BZ,2001,Male,35-44,9.0
17041,BZ,2002,Male,35-44,7.0
17042,BZ,2003,Male,35-44,10.0
17043,BZ,2004,Male,35-44,8.0
17044,BZ,2005,Male,35-44,6.0
17045,CA,1980,Male,35-44,83.0
17046,CA,1981,Male,35-44,64.0
17047,CA,1982,Male,35-44,69.0
17048,CA,1983,Male,35-44,62.0
17049,CA,1984,Male,35-44,58.0
17050,CA,1985,Male,35-44,59.0
17051,CA,1986,Male,35-44,62.0
17052,CA,1987,Male,35-44,60.0
17053,CA,1988,Male,35-44,62.0
17054,CA,1989,Male,35-44,60.0
17055,CA,1990,Male,35-44,55.0
17056,CA,1991,Male,35-44,53.0
17057,CA,1992,Male,35-44,58.0
17058,CA,1993,Male,35-44,53.0
17059,CA,1994,Male,35-44,42.0
17060,CA,1995,Male,35-44,60.0
17061,CA,1996,Male,35-44,48.0
17062,CA,1997,Male,35-44,44.0
17063,CA,1998,Male,35-44,51.0
17064,CA,1999,Male,35-44,51.0
17065,CA,2000,Male,35-44,46.0
17066,CA,2001,Male,35-44,56.0
17067,CA,2002,Male,35-44,50.0
17068,CA,2003,Male,35-44,37.0
17069,CA,2004,Male,35-44,38.0
17084,CD,2004,Male,35-44,7114.0
17085,CD,2005,Male,35-44,7577.0
17086,CD,2007,Male,35-44,7925.0
17087,CD,2008,Male,35-44,8552.0
17100,CF,1995,Male,35-44,206.0
17101,CF,1998,Male,35-44,328.0
17102,CF,1999,Male,35-44,367.0
17104,CF,2001,Male,35-44,171.0
17105,CF,2002,Male,35-44,414.0
17106,CF,2004,Male,35-44,575.0
17107,CF,2005,Male,35-44,160.0
17109,CF,2008,Male,35-44,515.0
17124,CG,2007,Male,35-44,482.0
17125,CG,2008,Male,35-44,469.0
17139,CH,1995,Male,35-44,26.0
17140,CH,1996,Male,35-44,27.0
17141,CH,1997,Male,35-44,15.0
17142,CH,1998,Male,35-44,26.0
17143,CH,1999,Male,35-44,17.0
17158,CI,1995,Male,35-44,1344.0
17159,CI,2006,Male,35-44,1614.0
17160,CI,2007,Male,35-44,1817.0
17161,CI,2008,Male,35-44,1842.0
17162,CK,1980,Male,35-44,1.0
17164,CK,1982,Male,35-44,1.0
17167,CK,1985,Male,35-44,1.0
